text,text_hash,label,label_predicted,label_triggers,text_hash.1,label_count,label_predicted_count,label_count_matched
'Kicking' my boyfiend out of my student house and effectively leave him homeless.,2898337189,harm betrayal,care harm,synset-house-noun-1 kick_23020000 causeharm,2898337189,2,2,1
*Ed TW* I don't want to eat because I think it'll take my problem away.,864163804,harm,fairness,regard,864163804,1,1,0
5 How I lie to my family about go to school and literally waste my parent money.,1484528765,betrayal,authority,synset-parent-noun-1,1484528765,1,1,0
A Brit call me a racial epithet and I neglect to punch his face.,3237549569,harm degradation,harm,causeharm synset-punch-verb-1 punch_18020000,3237549569,2,1,1
"A co-worker I am in love with quit last week, but I am engaged.",2953713029,cheating,loyalty,collaboration synset-colleague-noun-1,2953713029,1,1,0
"A couple year ago, I break an egg and leave it in a jar for a week to see what would happen. It smell really bad.",2079925909,degradation,harm,causeharm break_45010000 destroying happen_48030000 experiencebodilyharm,2079925909,1,1,0
"A day before our vacation, i tell my relative to stop call and bother my mother while we are away, i have no regret lol.",327821962,harm betrayal,care,synset-mother-noun-1,327821962,2,1,0
A few month ago I think I realize that I am bi. Now I think it is more likely that I am lonely and afraid of guys.,2576099023,harm,fairness,regard,2576099023,1,1,0
A friend of mine be try to lure me into an organizational pyramid scheme. He doesn’t know that I know it’s a scam. I’ll drop the bomb on him soon though.,952515331,cheating,subversion harm,synset-bomb-noun-1 synset-scam-noun-1,952515331,1,2,0
A high school bully die at a car crash and I am relieve and frustrated.,1888622812,harm,harm,death die_48020000 synset-die-verb-1,1888622812,1,1,1
A nerd broke my nose by viciously ram my face into his thigh.,2695566800,harm,harm,experiencebodilyharm causeharm break_45010000,2695566800,1,1,1
A rant about leave an abusive house into a even more toxic environment.,2515409415,harm,care,synset-house-noun-1,2515409415,1,1,0
A relative boyfriend be cheat on her and she doesn't know. But I do. And he know i know.,1515200006,betrayal,cheating,cheat_59000100,1515200006,1,1,0
A shady guy from an apartment give me a bag of chip and I take them.,843847517,harm,harm,synset-bit-noun-2,843847517,1,1,1
Adam totally forget about the flower and let them wilt and die.,3865843400,cheating,harm,death die_48020000 synset-die-verb-1,3865843400,1,1,0
Affair With Sister's Boyfriend Gives Both Pleasure and Pain.,2402882897,harm betrayal degradation cheating subversion,harm,synset-pain-noun-1,2402882897,5,1,1
After 25 year my family have be rip apart RIGHT before the holidays.,482219902,harm betrayal,harm,synset-rend-verb-1,482219902,2,1,1
"After 5+ year of gradually erode away my interpersonal relationship and strictly limit my social interactions, I can finally admit..",2527604866,betrayal,betrayal oppression,synset-restrict-verb-3 revealsecret,2527604866,1,2,1
"After I fell out with my ex-best friend, I start like a boy she really hated.",312154841,betrayal,harm,hate_31020100,312154841,1,1,0
"After the ups and down of acne, I think now that I hate myself more than ever.",748297012,harm,fairness harm,synset-hate-verb-1 hate_31020100 regard,748297012,1,2,1
"After year of Extreme verbal and okay physical abuse, I’m leave with intrusive homocidal thought that I’m get use to.",3362008517,harm,fairness harm,synset-maltreatment-noun-1 abusing regard,3362008517,1,2,1
After year of abuse today be the day I call quits and beat my brother over the head with a vacuum clean.,2225415364,harm betrayal,harm,causeharm synset-maltreatment-noun-1 abusing synset-beat-verb-1,2225415364,2,1,1
Albert smoke cigarette even though his parent didn't approve.,3257734818,harm,authority harm,synset-parent-noun-1 synset-approve-verb-1,3257734818,1,2,1
Alex be tell by his parent to not mess with their computer at all.,338958267,harm cheating,authority care,synset-parent-noun-1 synset-computer-noun-1,338958267,2,2,0
Alex be vomit and in pain as his father drive him to the ER.,2138313894,harm,care harm,synset-vomit-verb-1 synset-pain-noun-1,2138313894,1,2,1
All my friend be too scared to sleep over because of my abusive mother.,2382305690,degradation harm,care,synset-mother-noun-1,2382305690,2,1,0
All the police officer rush to grab the guy and they catch him.,3526694504,subversion,care,synset-police-noun-1 synset-policeman-noun-1,3526694504,1,1,0
Am I ready to enter another relationship after abuse my ex-wife 10 year ago?.,846928676,harm,harm,synset-maltreatment-noun-1,846928676,1,1,1
Amy and her parent lose their house because they couldn't pay bills.,1379670199,harm,authority care harm,attack synset-lose-verb-1 synset-parent-noun-1 synset-house-noun-1 lose_13020000,1379670199,1,3,1
An old woman may or may not have call the police on me and my parent still don’t know.,1754603557,harm,authority care,synset-police-noun-1 synset-parent-noun-1,1754603557,1,2,0
And he iscame the first man to have the most food pump out of him.,162207558,harm,care,supply synset-food-noun-1 synset-pump-noun-1,162207558,1,1,0
Andy know the caller be a telemarketer try to sell him a vacation.,466425793,cheating,loyalty,synset-caller-noun-1,466425793,1,1,0
Animal Lover Forced to Choose Between Boyfriend and Her Pets.,2743997850,cheating subversion,fairness oppression,force_59000000 partiality,2743997850,2,2,0
Approximately 300 people nearly die and i think I am the only one who knows.,280828617,harm degradation,fairness harm,death die_48020000 regard synset-die-verb-1,280828617,2,2,1
"As I grow up, I am taught not to like Indian people. But the truth be that I respect and love their extensive culture and heritage.",2616012377,harm,fairness,synset-respect-verb-1,2616012377,1,1,0
As I sit in the doctor's office I wonder why I am even here.,1752896606,cheating,care,synset-doctor-noun-1,1752896606,1,1,0
As a cop sometimes I seize money from homeless people because I know they will use that money for food or drug.,3295160352,harm cheating,degradation care,synset-bull-noun-5 synset-food-noun-1 synset-drug-noun-1,3295160352,2,2,0
As a hobby I enjoy drive around with my window roll down and verbally abuse overweight woman.,522723870,harm,harm,abusing synset-mistreat-verb-1 abuse_33000000,522723870,1,1,1
As a kid I physically attack my father cause I think he is kidnap my sister.,4231862999,harm subversion,fairness care harm,attack_33000000 synset-attack-verb-1 attack regard,4231862999,2,3,1
"As a kid and young teenager, I am careless about leave container of old food out until they rotted..",3975422886,degradation,care,synset-food-noun-1,3975422886,1,1,0
"As a kid, I give my mom the silent treatment just because she didn't buy me a TMNT action figure.",1628512685,betrayal subversion,care,synset-treatment-noun-1 cure,1628512685,2,1,0
As a prank I sell a fake X box one to some kid on Craigslist.,1845105845,cheating,cheating,synset-bogus-adjectivesatellite-1,1845105845,1,1,1
"As a result of his carelessness, he stumble right into a huge patch.",1230444654,harm,care harm,synset-negligence-noun-1 supply synset-spot-noun-5 offenses,1230444654,1,2,1
"As an excuse for the day off of work, I tell my manager that my mother have died.",2092637247,betrayal cheating,care harm,death die_48020000 synset-mother-noun-1,2092637247,2,2,0
"As he is push the weight back up, his shoulder give him pain.",2451248498,harm,harm,synset-pain-noun-1,2451248498,1,1,1
"As she didn't find anything conclusive, she go to a doctor.",1933317356,harm,care,synset-detect-verb-1 synset-doctor-noun-1,1933317356,1,1,0
"As well as the normal activities, he would help to campaign for them.",1643256015,cheating,care,help_72000100 assistance synset-help-verb-1,1643256015,1,1,0
At one time in my life I want to become a professional Hitman.,2703627738,harm,harm,synset-gunman-noun-1,2703627738,1,1,1
At school I fart really loudly but everyone think it is this boy and he get send out protest his innocence.,684467934,degradation,fairness,regard,684467934,1,1,0
Awkward Questions About Sons' Adoption Don't Deserve Answers.,3029866011,harm,care,synset-adoption-noun-1,3029866011,1,1,0
"Back in grade 10 my friend choke me till I pass out because I didn’t call him the group leader. He blame me for the group split up to this day, 8 year later.",1431320480,harm,loyalty,synset-group-noun-1,1431320480,1,1,0
"Because of Percy Jackson, i think all dyslexic kid could read Greek. It wasn't until I ask my dyslexic friend in high school that I know otherwise.",4235539514,cheating,fairness,regard,4235539514,1,1,0
Becka try to bribe her way out of it but be arrest for DUI.,1828066385,harm,authority oppression,arrest synset-apprehension-noun-4,1828066385,1,2,0
Before I get addict to Minecraft I think it is call Mindcraft.,2749240740,harm,fairness,regard,2749240740,1,1,0
Bill then unplug Jim's controller and knock his character out.,3357021868,cheating,harm,synset-knock-verb-1 causeharm,3357021868,1,1,0
Bill worry that the man would hurt him and the other hostages.,3366852259,harm,harm,causeharm synset-ache-verb-3 hurt_40081000 experiencebodilyharm,3366852259,1,1,1
Bone have be poke out of my gum for week and im too scar to get it check.,2832013630,harm,harm,synset-jab-verb-1 causeharm,2832013630,1,1,1
Both her and her husband have always struggle with finances.,2534938135,harm,harm,synset-fight-verb-3,2534938135,1,1,1
Bro hat my parent and I think he want to make me do the same.,2365789421,harm betrayal,authority care,synset-parent-noun-1 synset-hat-noun-1,2365789421,2,2,0
"Bunch of people be planning, include me to beat someone up.",2035094803,harm,harm,synset-beat-verb-1,2035094803,1,1,1
But Joe call his brother one day and tell them they should play.,3712816863,harm betrayal,loyalty,synset-play-verb-1,3712816863,2,1,0
"But in the end, he heart melted, she feed the cat and keep it with her.",1667569722,harm,care oppression,synset-keep-verb-1 synset-feed-verb-1,1667569722,1,2,0
"Charles shout out, look like you teach your dog to hate blacks?.",4148369153,harm,harm,synset-hate-verb-1 hate_31020100,4148369153,1,1,1
College Student Living at Home Can't Escape Smothering Mom.,2011043039,harm,harm,killing smother_42030000,2011043039,1,1,1
Cookie be fine with one shot but Leslie dare her to drink more.,3436189280,harm subversion,harm,synset-shot-noun-2,3436189280,2,1,1
Damien be play outside one day while his parent be arguing.,2127959378,harm betrayal,authority,synset-parent-noun-1,2127959378,2,1,0
Dan could not wait until he could play Farmville on his phone.,3228702306,harm,care loyalty,synset-telephone-noun-1 synset-play-verb-1,3228702306,1,2,0
Daughter Refuses to Play Part in Mom's Reconciliation Drama.,2479822210,betrayal,loyalty,synset-play-verb-1,2479822210,1,1,0
"Devin make it out safely, but his whole house sadly go up in flames.",1189025857,harm,care,synset-house-noun-1,1189025857,1,1,0
Dispute Over Toilet Threatens to Wash Family Harmony Down the Drain.,1519720581,betrayal,harm,threaten_31010000,1519720581,1,1,0
Drama Teacher Discovers Forgotten Video of Student Who Died.,2610238865,cheating,harm,death die_48020000,2610238865,1,1,0
Dropped outta college to go to concert &amp; music festival all over the nation and do mind alter drug instead.,3531614252,harm degradation,degradation care,synset-drug-noun-1,3531614252,2,2,1
Eli decide to double the value of the donation when he file taxes.,329455513,cheating,care,synset-file-verb-1,329455513,1,1,0
