text,text_hash,label,label_predicted,label_triggers,text_hash
'Candy Witch' Helps Parents Manage Halloween Candy Overload.,2048660791,harm,<no response>,<no response>,2048660791
'Harmless' Adult Gossip Falls Heavily on Young Girl's Ears.,1820791953,harm betrayal,<no response>,<no response>,1820791953
'Kicking' my boyfiend out of my student house and effectively leave him homeless.,2898337189,harm betrayal,care harm,synset-house-noun-1 kick_23020000 causeharm,2898337189
*Ed TW* I don't want to eat because I think it'll take my problem away.,864163804,harm,fairness,regard,864163804
10 day to graduation and I just realize I don't want a career in my major.,2989824373,subversion,<no response>,<no response>,2989824373
"18 year old in college, I lose all my friend and I’ve start have suicidal ideations.",332209931,betrayal harm,<damaged>,<damaged>,332209931
5 How I lie to my family about go to school and literally waste my parent money.,1484528765,betrayal,authority,synset-parent-noun-1,1484528765
A Brit call me a racial epithet and I neglect to punch his face.,3237549569,harm degradation,harm,causeharm synset-punch-verb-1 punch_18020000,3237549569
"A co-worker I am in love with quit last week, but I am engaged.",2953713029,cheating,loyalty,collaboration synset-colleague-noun-1,2953713029
"A couple year ago, I break an egg and leave it in a jar for a week to see what would happen. It smell really bad.",2079925909,degradation,harm,causeharm break_45010000 destroying happen_48030000 experiencebodilyharm,2079925909
"A day before our vacation, i tell my relative to stop call and bother my mother while we are away, i have no regret lol.",327821962,harm betrayal,care,synset-mother-noun-1,327821962
A few month ago I think I realize that I am bi. Now I think it is more likely that I am lonely and afraid of guys.,2576099023,harm,fairness,regard,2576099023
A friend of mine be try to lure me into an organizational pyramid scheme. He doesn’t know that I know it’s a scam. I’ll drop the bomb on him soon though.,952515331,cheating,subversion harm,synset-bomb-noun-1 synset-scam-noun-1,952515331
A high school bully die at a car crash and I am relieve and frustrated.,1888622812,harm,harm,death die_48020000 synset-die-verb-1,1888622812
"A journalist lose his job, when not tell the truth in his story.",4018673441,harm cheating,<no response>,<no response>,4018673441
A morbidly obese man tell me I am not live right because I worry.,4024440537,harm,<no response>,<no response>,4024440537
A nerd broke my nose by viciously ram my face into his thigh.,2695566800,harm,harm,experiencebodilyharm causeharm break_45010000,2695566800
A rant about leave an abusive house into a even more toxic environment.,2515409415,harm,care,synset-house-noun-1,2515409415
